entity_id,source,preferred_name,given_name,surname,origin_name,variant_names,birth_year,death_year,activity_start,activity_end,mention_start,mention_end,places,gnd_id,wikidata_id
https://data.hisqu.de/erfurt/person/42,erfurt,Nicolaus Grobitsch,Nicolaus,Grobitsch,de Lobda,[],,,,,1445,1445,['de Lobda'],,
https://data.hisqu.de/erfurt/person/43,erfurt,Paulus Schonbuhel,Paulus,Schonbuhel,de Hohenberga,[],,,,,1445,1445,['de Hohenberga'],,
https://data.hisqu.de/erfurt/person/44,erfurt,Johannes Andree,Johannes,Andree,de Crossen,[],,,,,1445,1445,['de Crossen'],,
https://data.hisqu.de/erfurt/person/45,erfurt,Johannes Blume,Johannes,Blume,de Stockheym,[],,,,,1445,1445,['de Stockheym'],,
https://data.hisqu.de/erfurt/person/46,erfurt,Petrus Cirxe,Petrus,Cirxe,de Selandia,[],,,,,1445,1445,['de Selandia'],,
https://data.hisqu.de/erfurt/person/47,erfurt,Johannes Boppc,Johannes,Boppc,de Gernsbach,[],,,,,1445,1445,['de Gernsbach'],,
https://data.hisqu.de/erfurt/person/48,erfurt,Johannes Belderßheym,Johannes,Belderßheym,de Gisenheym,[],,,,,1445,1445,['de Gisenheym'],,
https://data.hisqu.de/erfurt/person/49,erfurt,Heinricus Brulandis,Heinricus,Brulandis,de Vach,[],,,,,1445,1445,['de Vach'],,
https://data.hisqu.de/erfurt/person/50,erfurt,Thomas Textoris,Thomas,Textoris,de Ingwiler,[],,,,,1445,1445,['de Ingwiler'],,
https://data.hisqu.de/erfurt/person/51,erfurt,Johannes de Hurnheyn,Johannes,de Hurnheyn,de Hurnheyn,[],,,,,1445,1445,['de Hurnheyn'],,
https://data.hisqu.de/erfurt/person/52,erfurt,Iheronimus,Iheronimus,,de suntheym,[],,,,,1445,1445,['de suntheym'],,
https://data.hisqu.de/erfurt/person/53,erfurt,Johannes Gopbolt,Johannes,Gopbolt,de Spalt,[],,,,,1445,1445,['de Spalt'],,
https://data.hisqu.de/erfurt/person/54,erfurt,Johannes Bengel,Johannes,Bengel,de Leutkerch,[],,,,,1445,1445,['de Leutkerch'],,
https://data.hisqu.de/erfurt/person/55,erfurt,Symon Schoflen,Symon,Schoflen,de Arwiler,[],,,,,1445,1445,['de Arwiler'],,
https://data.hisqu.de/erfurt/person/56,erfurt,Michahel de Seckendorff,Michahel,de Seckendorff,de Seckendorff,[],,,,,1445,1445,['de Seckendorff'],,
https://data.hisqu.de/erfurt/person/57,erfurt,Heinricus Boden,Heinricus,Boden,de Halberstat,[],,,,,1445,1445,['de Halberstat'],,
